party,text
BBB,"Mevrouw Van der Plas (BBB): Voorzitter. Vorige week heb ik een soortgelijk debat aangevraagd. Alleen, ik heb het toen ""een gezags- en gedragscrisis"" genoemd. Toen heeft GroenLinks het niet gesteund. Ik vind het dus opmerkelijk dat deze debataanvraag er nu wél komt. Ik wil het steunen, maar ik wil daar wel het volgende bij opmerken, meneer Klaver. Er worden nu een paar voorbeelden genoemd, maar de heer Baudet heeft een bierflesje op zijn kop gegooid gekregen en er werd gedreigd dat ons partijkantoor in de fik gestoken zou worden. Ik heb van bijna niemand in de Kamer daar wat over gehoord, zelfs niet persoonlijk. Verschillende Kamerleden aan de rechterzijde worden ernstig bedreigd. Kijk bijvoorbeeld naar de heer Wilders, die al ruim twintig jaar in een soort van lockdown zit en geen normaal leven heeft. Er komen ook … Nou ja, ""geen normaal leven heeft"" … Dat bedoel ik niet zo. Ik bedoel het serieus. Dus …"
PvdD,Mevrouw Ouwehand (PvdD): Voorzitter. Het kabinet lijkt het extreem moeilijk te vinden om gewoon een duidelijke grens te trekken tegen extreemrechts en gaat tegen de adviezen van onze veiligheidsadviseurs en andere experts in. Zeker steun voor dit debat. Er worden nu namelijk zelfs oproepen gedaan tot geweld tegen Palestijnse vluchtelingen. Het loopt écht de spuigaten uit.
DENK,"De heer Van Baarle (DENK): Voorzitter. Wat we in dit land zien gebeuren, is antivluchtelingenterreur, opgehitst door extreemrechtse uitspraken, waarbij ook uitspraken gedaan worden waarmee direct opgeroepen wordt tot het gebruiken van maximaal geweld tegen Palestijnen. Dat is ziek. We moeten een lijn trekken. Steun om daar zo snel mogelijk over te debatteren."
FVD,"Mevrouw De Vos (FVD): De heer Klaver bewijst hier precies het probleem van de politiek, namelijk dat het de hele tijd gaat over een paar uitschieters. Iedereen is het erover eens dat geweld niet door de beugel kan, maar laten we het vooral hebben over de zorgen die honderdduizenden vreedzame mensen in Nederland hebben. Daar zou het over moeten gaan. Daarom zou er een inhoudelijk debat moeten komen. De heer Klaver bewijst precies dat hij daar niet in geïnteresseerd is door mijn verzoek niet te steunen. Geen steun dus voor dit debat."
JA21,"De heer Ceulemans (JA21): Het vertrouwen in de politiek is al tot een dieptepunt gedaald, en dit debat gaat daar alleen maar verder afbreuk aan doen. Dit wordt één groot moddergevecht waarin de Kamer weer de hele dag met zichzelf bezig is en dat helemaal niets gaat oplossen. Laten we onze tijd nuttig besteden. Geen steun dus voor dit verzoek."
ChristenUnie,"Mevrouw Bikker (ChristenUnie): Voorzitter. Als de burgemeesters, zoals gisteren, vragen om spoedoverleg met het kabinet, vind ik het alleszins logisch dat we dat debat hier voeren. Daarom steun ik het verzoek van collega Klaver ook. Ik vraag het kabinet wel om aan de Kamer goed toe te lichten wat er sindsdien, en ook sinds dat spoedoverleg met de burgemeesters, gewisseld en afgesproken is."
Lid Keijzer,"Mevrouw Keijzer (Lid Keijzer): Voorzitter. Ik vind het eigenlijk heel jammer dat het op deze manier wordt aangevraagd, want dan doe je niet wat er nodig is, namelijk zorgen dat de instroom naar beneden gaat. Ik ga in dat debat voorstellen doen om dat voor elkaar te krijgen en ik hoop ook dat links eindelijk eens bij zichzelf te rade gaat. Links houdt namelijk al vijf, tien, twintig jaar strenge instroombeperkende maatregelen tegen."
VVD,"De heer Ellian (VVD): Sorry, er werd wat geroepen, dus ik was even afgeleid. Ik kan het verzoek steunen. Dit debat is wat ons betreft breder, dus de minister van Asiel en Migratie moet er wat ons betreft ook bij zijn. Je kunt dat niet los zien. Wel wil ik het volgende opmerken. Deze week zouden we een wetsbehandeling hebben over de wet terugkeer en de wijziging van de Vreemdelingenwet. Die wetsbehandeling moet wat ons betreft wel doorgaan."
CDA,"De heer Krul (CDA): Voorzitter. Als dit niet het debat is waar Nederland op zit te wachten, is dit wel het debat dat Nederland gewoon nodig heeft. Er is gisteren een spoedberaad geweest in het Catshuis, waarin gemeentes en bestuurders aangaven dat de maat voor hen ook vol is en dat ze zich onveilig voelen. Natuurlijk moet de Tweede Kamer daar dan over debatteren. Ik voel wel wat voor het verzoek dat de heer Ellian daarbij doet, want het is natuurlijk wel aanpalend aan de discussie rondom de opvang en de asielketen. Wij kunnen dus begrijpen dat de minister van Asiel daarbij gevraagd wordt. Steun voor dit verzoek."
ChristenUnie,"Mevrouw Bikker (ChristenUnie): Ja, voorzitter, en zie het als Lea in plaats van collega Ceder. Daar ben ik. Inderdaad, dit is de vooraankondiging voor dat tweeminutendebat, met het verzoek om ook deze week te stemmen. Ook wil ik rappelleren rondom de antwoorden waarvan de Griffie had verzocht om ze voor 12.00 uur naar de Kamer te sturen, zodat die er in ieder geval zo snel mogelijk zijn."
PVV,"De heer Tony van Dijck (PVV): Dank u wel, voorzitter. Gisteren kregen we een brief van de staatssecretaris van Financiën waarin hij aankondigde dat er een Bulgarenfraude bezig is in dit land. Meer dan 400 Bulgaren hebben ons inmiddels voor 6,7 miljoen opgelicht. Dit vereist een debat. Ik kreeg een déjà vu van 2013, toen staatssecretaris Frans Weekers is opgestapt. Toen ging het ook over toeslagen en Bulgaren en slechts over 4 miljoen, en nu gaat het over 6,7 miljoen. Ik verwacht hier dus met spoed een debat over te voeren."
DENK,"De heer Van Baarle (DENK): Voorzitter. Inderdaad, lang geleden in deze Kamer werd er vaak over gesproken en dat werd dan geframed als ""de Bulgarenfraude"". Die druk vanuit de politiek, zo lezen we in onderzoeken, heeft onder andere geleid tot de toeslagenmisdaad. Een debat met een dergelijke insteek kan ik dus niet steunen."
GroenLinks-PvdA,"Mevrouw Moorman (GroenLinks-PvdA): Voorzitter. Gisteren werd de Staat van Gezinnen 2026 gepresenteerd in Nieuwspoort. Daar waren ook vele leden van de Kamer bij. Het biedt helaas een zorgelijk beeld. We zien dat heel veel gezinnen steeds meer stress ervaren, inmiddels zelfs tot het niveau van de coronapandemie, en dat de ongelijkheid toeneemt. In het rapport worden ook meerdere aanbevelingen gedaan. Het lijkt me dus heel zinvol om dit rapport hier plenair te behandelen, ook omdat het heel integraal is en over veel onderdelen gaat. Ik hoop dus op steun van de Kamer."
ChristenUnie,"Mevrouw Bikker (ChristenUnie): Voorzitter. De ChristenUnie voert heel graag het debat over de Staat van Gezinnen. Ik dank collega Moorman dus dat ze dat aanvraagt. Ook wij willen graag een reactie van het kabinet voordien, zodat we daarna in de breedte een heel goed debat kunnen voeren over al die gezinnen in Nederland."
PvdD,"Mevrouw Teunissen (PvdD): Voorzitter, dank u wel. Als de aarde een patiënt was, dan lag ze nu op de intensive care. Uit een nieuw rapport van de Wereldgezondheidsorganisatie blijkt dat klimaatverandering een catastrofale bedreiging vormt voor onze volksgezondheid en onze veiligheid. We zien de gevolgen nu al: hittesterfte, meer overstromingen, meer infectieziektes en een zorgstelsel dat steeds verder onder druk komt te staan."
PvdD,"Mevrouw Teunissen (PvdD): Hoeveel rapporten zijn er nog nodig voordat het kabinet-Jetten in actie komt? Daarom vraag ik nu graag een debat aan met de minister van Volksgezondheid, Welzijn en Sport en de minister van Klimaat en Groene Groei over de gevolgen van klimaatverandering voor de volksgezondheid, in te plannen vóór het zomerreces."
Groep Markuszower,"De heer Claassen (Groep Markuszower): Voorzitter. In Congo en Uganda woedt een ebola-uitbraak met 88 doden en ruim 300 besmettingen. Er is geen vaccin. De WHO spreekt van een internationale noodsituatie. Ons eigen zorgstelsel staat al op omvallen. Er zijn tienduizenden onvervulde vacatures, het ziekteverzuim ligt boven de 7% en de wachttijden zijn ver boven de norm. Er is geen enkele marge. Ondertussen weten we dat de verplichte infectiescreening in de asielopvang gaten heeft. In de crisisopvang wordt lang niet iedereen gecheckt. Dit kabinet hoopt op geluk in plaats van op een plan. Om tot plannen of inzichten in die plannen te komen, wil ik graag een debat voeren met de minister van VWS."
GroenLinks-PvdA,"Mevrouw Vliegenthart (GroenLinks-PvdA): Voorzitter. Ik snap de noodzaak van het debat, maar we hebben voor binnenkort een technische briefing staan over het hantavirus. Ons voorstel is om dat te verbreden naar ook het ebolavirus. Daarna kunnen we kijken wat er nog nodig is en of we verder moeten met een debat."
DENK,"De heer Van Baarle (DENK): Voorzitter. Deze uitbraak is buitengewoon zorgelijk. Tegelijkertijd is het op dit moment het meest nijpend voor de mensen waar het op dit moment uitgebroken is. Ik zou willen meegeven dat het van belang is om niet alleen de implicaties hier te bespreken — dat moet zeker — maar ook hoe we de mensen daar het beste kunnen ondersteunen om de verspreiding tegen de houden. Dus steun voor het verzoek, maar wel met die kanttekening."
ChristenUnie,"Mevrouw Bikker (ChristenUnie): Voorzitter. Graag een brief waarin het kabinet ook ingaat op hoe er ingezet wordt op de bestrijding van dit virus. Daarnaast wil ik dat het kabinet, gelet op eerdere bezuinigingen op pandemische paraatheid, waarvan het grootste deel gerepareerd is, ingaat op de vraag of alles op orde staat. Pas na die brief wil ik beoordelen of we hier of in de commissie een debat hebben te voeren."
BBB,"Mevrouw Van der Plas (BBB): Voorzitter, ik heb twee verzoeken. Mijn eerste verzoek is om het door mij aangevraagde en ook toegekende debat over de wolf — vorige week is de meerderheid van de Kamer daarmee akkoord gegaan — volgende week in te plannen. De reden daarvoor is als volgt. Misschien denken de leden: ""Waarom moet dat allemaal? Wat is de haast?"" De haast is dat de plannen van de staatssecretaris eigenlijk zo snel mogelijk ingevoerd moeten worden en uitgevoerd moeten kunnen worden. Daarbij is het op dit moment ook nog eens de tijd dat er welpjes worden geboren. We krijgen dus alleen nog maar meer wolven. Het moet dus zo snel mogelijk, zodat we deze plannen ook snel kunnen implementeren."
DENK,"De heer Van Baarle (DENK): Voorzitter. We vinden met elkaar ontzettend veel onderwerpen belangrijk en we vinden van ontzettend veel onderwerpen dat ze spoed moeten hebben. Dat het debat snel ingepland wordt, kan ik begrijpen, maar het hoeft van ons niet volgende week, dus geen steun voor het verzoek."
GroenLinks-PvdA,"Mevrouw Westerveld (GroenLinks-PvdA): Voorzitter. Wij hebben eerder hier besproken dat er een debat moet komen over de jeugdzorg. Daar ben ik het helemaal mee eens. Er zijn heel veel onderwerpen die om bespreking vragen. Ik zou ook graag een debat over jeugdbescherming willen met de staatssecretaris Rechtsbescherming en ook met de minister van Jeugd, omdat het beiden betreft. De reden is dat de inspecties al vanaf 2019 alarm slaan en zeggen dat heel veel kinderen in onveilige situaties terecht zijn gekomen. Wij zijn hier elke keer wel boos als er een afschuwelijke mishandeling is gebeurd, maar dit vraagt ook om een aanpak in het stelsel. Daar zou ik graag een debat over willen. Ik kan me ook voorstellen dat we eerst de inspectierapporten afwachten, niet omdat ik het per se alleen over de situatie in Groningen wil hebben, maar ik denk wel dat het goed is om het in te plannen als de inspectierapporten binnen zijn. Dan hoeven we niet met elkaar te speculeren, maar kunnen we op basis van volledige informatie een debat met elkaar voeren."
SP,"De heer Jimmy Dijk (SP): Dank u wel, voorzitter. De AOW-leeftijd verhogen naar 72 jaar … Achter de tekentafel hebben D66, CDA en VVD bedacht dat dit wel even kan, terwijl veel mensen de AOW-leeftijd nu al niet gezond halen. Er wordt gekort op het maximumdagloon. Mensen die de pech hebben om arbeidsongeschikt te raken, worden keihard geraakt. Mensen die werkloos worden omdat hun bedrijf verplaatst voor meer winst voor aandeelhouders, krijgen een kortere WW. Oudere werknemers die niet meer aan de bak komen, komen door een kortere WW in de bijstand of in armoede terecht. Jongeren moeten 24 jaar achter elkaar werken om slechts 1 jaar WW te krijgen, terwijl politici hier meer dan 3 jaar wachtgeld krijgen. Het kabinet plundert de kas van werknemersverzekeringen. Dit kabinet ziet sociale zekerheid als een kostenpost, met 6,5 miljard euro aan bezuinigingen. Het zijn steeds dezelfde mensen die geraakt worden. Mensen die ons land draaiende houden, betalen keer op keer de prijs, de rekening. Het is erg goed dat vakbonden gezamenlijk een ultimatum hebben gesteld. Die bezuinigingen moeten binnen twee weken van tafel. De minister reageerde gisteren dat hij met een nieuw voorstel zal komen. Mijn vraag is dus of de minister zich ervan bewust is dat in deze nieuwe voorstellen geen bezuinigingen mogen staan. Hij is degene die al een halfjaar lang onrust veroorzaakt. Als hij niet met een nieuw voorstel komt, zonder deze bezuinigingen, zal hij dezelfde fout blijven maken."
GroenLinks-PvdA,"De heer Klaver (GroenLinks-PvdA): Dank u wel, voorzitter. De bonden hebben gisteren een ultimatum afgekondigd van twee weken, met hele heldere eisen: de bezuiniging op de AOW, de WIA en de WW moet van tafel. Dat zijn dezelfde eisen die wij in de Kamer ook al op tafel hebben gelegd. De bonden zijn bereid om te praten met deze coalitie en ook wij zijn bereid om te praten om dit land verder te helpen, maar niet met het mes op de keel, met de dreiging van bezuinigingen. Concreet verzoek ik het kabinet om een brief, te ontvangen vóór het verstrijken van de deadline die de vakbonden hebben gesteld, en een debat, ook te houden voordat de deadline van de vakbonden verstrijkt."
PVV,"De heer Wilders (PVV): Ik steun dat. Even voor de helderheid: het ultimatum is gisteren gesteld. ""Over twee weken"" is komende dinsdag over een week. Dat betekent, als ik het goed begrijp, dat volgende week die brief moet komen, en dat dan ook het debat moet zijn. Dat steun ik, want wat er gebeurt, is een schande. Al die bezuinigingen moeten we echt niet accepteren. De vakbeweging heeft groot gelijk. Ik steun dit, maar ik wil eraan toevoegen dat ik ook heel graag de minister-president bij dit debat zou willen. Ik weet niet of de collega dat wil steunen, maar het is belangrijk genoeg om ook de minister-president erbij te hebben."
